"","Plate","Sample_ID","Treatment","Time","Cat_Absorbance_560nm","TotalProtein_ug","Catalase_UmL","Catalase_UmL_ng_protein"
"1",1,"T0BL1","Baseline","Baseline",0.2264,17.0386366286226,1.35603398171466,79.5858266873715
"2",1,"T0BL1","Baseline","Baseline",0.2192,17.0386366286226,1.4201530521989,83.3489840268816
"3",1,"T0BL2","Baseline","Baseline",0.0544,24.0419594698804,4.72333595184654,196.462187608456
"4",1,"T0BL2","Baseline","Baseline",0.0542,24.0419594698804,4.73079346662476,196.772375086626
"5",1,"T0BL3","Baseline","Baseline",0.0494,24.4465995342814,4.9136302522309,200.994426457575
"6",1,"T0BL3","Baseline","Baseline",0.049,24.4465995342814,4.92920602832227,201.631561126122
"7",1,"T0BL4","Baseline","Baseline",0.0745,23.456931741101,4.03496606747118,172.015935929129
"8",1,"T0BL4","Baseline","Baseline",0.0691,23.456931741101,4.20850579959349,179.414164053664
"9",1,"T0BL5","Baseline","Baseline",0.0638,25.8089858556013,4.38675511425133,169.970069292718
"10",1,"T0BL5","Baseline","Baseline",0.066,25.8089858556013,4.3117888725886,167.0654126711
"11",1,"T0BL6","Baseline","Baseline",0.0994,25.7567380194289,3.33018534577545,129.293753862132
"12",1,"T0BL6","Baseline","Baseline",0.1896,25.7567380194289,1.72914173542567,67.133568471339
"13",1,"T1A1","Control","1",0.0857,30.4795715434517,3.69945134193463,121.374781684863
"14",1,"T1A1","Control","1",0.074,30.4795715434517,4.05070204734893,132.898916954073
"15",1,"T1A2","Control","1",0.2512,24.4390342457903,1.16293401473187,47.5851051656095
"16",1,"T1A2","Control","1",0.1624,24.4390342457903,2.09044633399827,85.5371907487854
"17",1,"T1A3","Control","1",0.0774,29.9631837307844,3.94500443823947,131.661724391001
"18",1,"T1A3","Control","1",0.0528,29.9631837307844,4.78335253754429,159.640997449475
"19",1,"T1A4","OA","1",0.0623,23.1430986984498,4.43867811220332,191.792731389969
"20",1,"T1A4","OA","1",0.0662,23.1430986984498,4.30504301345438,186.018435540905
"21",1,"T1A5","OA","1",0.0512,33.4183898802211,4.84419086964671,144.955842786243
"22",1,"T1A5","OA","1",0.0514,33.4183898802211,4.8365407557824,144.726923502827
"23",1,"T1A6","OA","1",0.0796,28.7815485550973,3.87822163911221,134.746802510922
"24",1,"T1A6","OA","1",0.0511,28.7815485550973,4.8480208059679,168.441972352085
"25",2,"T1B1","Control","1",0.0825,18.3679465448566,4.43413080346485,241.405907439692
"26",2,"T1B1","Control","1",0.0993,18.3679465448566,4.12279879767802,224.456162674999
"27",1,"T1B2","Control","1",0.166,25.1709874180282,2.03769734160214,80.9542076264629
"28",1,"T1B2","Control","1",0.1489,25.1709874180282,2.30327345731095,91.5050895326131
"29",1,"T1B3","Control","1",0.1104,22.9128790903718,3.06329232000659,133.693033857706
"30",1,"T1B3","Control","1",0.1082,22.9128790903718,3.1146935894922,135.936369113955
"31",1,"T1B4","OA","1",0.0609,29.4425153563491,4.48774047763068,152.423813771161
"32",1,"T1B4","OA","1",0.0615,29.4425153563491,4.46664224339856,151.707223018748
"33",1,"T1B5","OA","1",0.0603,32.5141093711126,4.50894658055155,138.676613561421
"34",1,"T1B5","OA","1",0.0608,32.5141093711126,4.49126732237726,138.132872443603
"35",1,"T1B6","OA","1",0.0618,32.2166298896294,4.45613340546482,138.317801108652
"36",1,"T1B6","OA","1",0.0623,32.2166298896294,4.43867811220332,137.775991076961
"37",1,"T1C1","HW","1",0.0796,33.2892407783554,3.87822163911221,116.500753649925
"38",1,"T1C1","HW","1",0.0695,33.2892407783554,4.19537608177939,126.027989334837
"39",1,"T1C2","HW","1",0.0708,30.6669920793775,4.15301147465266,135.422850206604
"40",1,"T1C2","HW","1",0.0932,30.6669920793775,3.49198334279099,113.867813763816
"41",1,"T1C3","HW","1",0.0742,30.9069392209837,4.04439962944519,130.857332734499
"42",1,"T1C3","HW","1",0.0678,30.9069392209837,4.25148697850069,137.557683991374
"43",2,"T1D1","HW","1",0.0612,32.9416457971974,4.8637311583549,147.646878006584
"44",2,"T1D1","HW","1",0.0656,32.9416457971974,4.77162976883528,144.850982801874
"45",2,"T1D2","HW","1",0.0952,27.1673025017889,4.19665165416965,154.474359531769
"46",2,"T1D2","HW","1",0.0931,27.1673025017889,4.23500224304548,155.886004610381
"47",2,"T1D3","HW","1",0.0559,32.7155967681971,4.97708557994781,152.131890340024
"48",2,"T1D3","HW","1",0.055,32.7155967681971,4.99660060464197,152.728395573673
"49",1,"T2A1","Control","2",0.0575,28.4376765579435,4.60935093864476,162.08605964179
"50",1,"T2A1","Control","2",0.0591,28.4376765579435,4.55168460127497,160.058244983574
"51",2,"T2A2","Control","2",0.1271,27.9837211450704,3.65596552699195,130.646153456113
"52",2,"T2A2","Control","2",0.1277,27.9837211450704,3.64651122224862,130.308303293359
"53",2,"T2A4","OA","2",0.1023,36.2919080299827,4.06960499454924,112.135327555309
"54",2,"T2A4","OA","2",0.1,36.2919080299827,4.11032350187152,113.257299629321
"55",2,"T2A5","OA","2",0.0502,33.5372832795375,5.10200718407213,152.129411960601
"56",2,"T2A5","OA","2",0.0506,33.5372832795375,5.09313730423634,151.86493377488
"57",2,"T2A6","OA","2",0.0625,29.0448883496315,4.83633198737535,166.512328405515
"58",2,"T2A6","OA","2",0.1032,29.0448883496315,4.05378443948472,139.569634101766
"59",2,"T2B1","Control","2",0.051,29.1110547372927,5.08428315304015,174.651286218322
"60",2,"T2B1","Control","2",0.0528,29.1110547372927,5.04463336790343,173.289268060803
"61",2,"T2B2","Control","2",0.0498,29.983542500718,5.11089282048811,170.456603664018
"62",2,"T2B2","Control","2",0.0488,29.983542500718,5.1331760303745,171.199785023787
"63",2,"T2B3","Control","2",0.0485,28.7391235206413,5.13988029634806,178.846104776175
"64",2,"T2B3","Control","2",0.0488,28.7391235206413,5.1331760303745,178.612824663483
"65",1,"T2B4","OA","2",0.0532,31.7784453368736,4.76827178854486,150.047358767802
"66",1,"T2B4","OA","2",0.0512,31.7784453368736,4.84419086964671,152.436370574297
"67",2,"T2B5","OA","2",0.0976,28.7844827189799,4.15325775243783,144.288080247461
"68",2,"T2B5","OA","2",0.0499,28.7844827189799,5.10866993267486,177.479997905479
"69",2,"T2B6","OA","2",0.0939,34.8745409766323,4.22035034324285,121.015222711338
"70",2,"T2B6","OA","2",0.0496,34.8745409766323,5.11534155615866,146.678390966814
"71",1,"T2C1","HW","2",0.0706,32.1879397893197,4.15949867748953,129.225377725781
"72",1,"T2C1","HW","2",0.0976,32.1879397893197,3.37628388605317,104.892823465932
"73",2,"T2C2","HW","2",0.0503,27.6166092712991,5.09978823802607,184.663808215083
"74",2,"T2C2","HW","2",0.051,27.6166092712991,5.08428315304015,184.102367640188
"75",2,"T2C3","HW","2",0.8324,44.2335569048706,0.25553929998525,5.77704615830053
"76",2,"T2C3","HW","2",0.8398,44.2335569048706,0.250515177438423,5.66346445928338
"77",1,"T2D1","HW","2",0.0545,31.4343956191959,4.71961194561574,150.141647474006
"78",1,"T2D1","HW","2",0.0501,31.4343956191959,4.88649974064629,155.450729826098
"79",2,"T2D2","HW","2",0.0536,27.968922018056,5.02711263432001,179.739234535912
"80",2,"T2D2","HW","2",0.0529,27.968922018056,5.04243987352064,180.287244187151
"81",2,"T2D3","HW","2",0.0529,31.0905720565471,5.04243987352064,162.185496759259
"82",2,"T2D3","HW","2",0.0517,31.0905720565471,5.06882615162277,163.034187418735
"83",1,"T3A1","Control","3",0.0725,29.3107481224038,4.09831322454284,139.822880242701
"84",1,"T3A1","Control","3",0.059,29.3107481224038,4.55526581803391,155.412813040827
"85",1,"T3A2","Control","3",0.1385,23.4549142495875,2.4847164719744,105.935858282581
"86",1,"T3A2","Control","3",0.1457,23.4549142495875,2.35740374869384,100.50788178581
"87",1,"T3A3","Control","3",0.4939,42.7015978955107,0.444591523223813,10.4115898499094
"88",1,"T3A3","Control","3",0.4945,42.7015978955107,0.444059499470743,10.3991307434757
"89",1,"T3A4","OA","3",0.0601,26.6160020661684,4.51603934758462,169.67384268898
"90",1,"T3A4","OA","3",0.0641,26.6160020661684,4.37644971554097,164.429267200271
"91",1,"T3A6","OA","3",0.1156,27.1090960442819,2.94555182151318,108.655479205271
"92",1,"T3A6","OA","3",0.1265,27.1090960442819,2.71500754492535,100.151164778437
"93",1,"T3B1","Control","3",0.0548,33.426704089782,4.7084588992806,140.859203068121
"94",1,"T3B1","Control","3",0.0538,33.426704089782,4.74574658091866,141.974708848706
"95",1,"T3B2","Control","3",0.052,32.5662761972846,4.81366828567212,147.81144323997
"96",1,"T3B2","Control","3",0.0498,32.5662761972846,4.89810734036034,150.404280510547
"97",1,"T3B3","Control","3",0.0599,27.4171207974705,4.52314418177739,164.975170631144
"98",1,"T3B3","Control","3",0.0579,27.4171207974705,4.59486075148266,167.590929238149
"99",1,"T3B4","OA","3",0.0817,30.9165743443727,3.81562882703587,123.416934377478
"100",1,"T3B4","OA","3",0.0676,30.9165743443727,4.25814172097707,137.730062637166
"101",1,"T3B5","OA","3",0.0704,27.4702213672154,4.16599691721966,151.655018047711
"102",1,"T3B5","OA","3",0.0723,27.4702213672154,4.10470736743335,149.423891149714
"103",1,"T3B6","OA","3",0.0978,33.3975779083378,3.37112692931557,100.939263876197
"104",1,"T3B6","OA","3",0.0493,33.3975779083378,4.91751923321098,147.241792405051
"105",1,"T3C1","HW","3",0.1271,23.6570867380521,2.70292663828326,114.254416370535
"106",1,"T3C1","HW","3",0.1186,23.6570867380521,2.87995451035352,121.737496346968
"107",1,"T3C2","HW","3",0.1466,34.0717117578008,2.34203050482371,68.7382694908921
"108",1,"T3C2","HW","3",0.1476,34.0717117578008,2.32508648075822,68.24096474184
"109",1,"T3C3","HW","3",0.0622,31.6880187590679,4.44216323897195,140.184316121082
"110",1,"T3C3","HW","3",0.0587,31.6880187590679,4.56602774943062,144.093191314588
"111",1,"T3D1","HW","3",0.1006,26.0207423345357,3.29984247460321,126.815846841677
"112",1,"T3D1","HW","3",0.1663,26.0207423345357,2.0333740140222,78.1443506830099
"113",1,"T3D2","HW","3",0.0638,26.9602394693031,4.38675511425133,162.712023357437
"114",1,"T3D2","HW","3",0.065,26.9602394693031,4.34569071358773,161.188876624621
"115",2,"T3D3","HW","3",0.0541,27.565900796754,5.01619371617355,181.970970336084
"116",2,"T3D3","HW","3",0.0556,27.565900796754,4.98358193109993,180.787922290092
