"","Plate","Treatment","Time","Sample_ID","N","SOD_UmL_ng_protein","sd","se","ci"
"1",1,"Baseline","Baseline","T0BL2",2,8.11284251370237,7.25387828923705,5.12926652822139,65.173510653989
"2",1,"Baseline","Baseline","T0BL3",2,3.71201130569625,2.67954150031491,1.89472196534345,24.0747252097812
"3",1,"Baseline","Baseline","T0BL4",2,10.0123373775932,10.7036022001157,7.56858969882505,96.1680502773739
"4",1,"Baseline","Baseline","T0BL6",2,3.44235991249924,1.56697689776887,1.10801999037502,14.0787288494794
"5",1,"Control","1","T1A1",2,7.07391015111291,5.3225985138756,3.76364550269487,47.8216503116242
"6",1,"Control","1","T1A2",2,5.84974172996084,4.87939416008126,3.4502526986755,43.8396171809102
"7",1,"Control","1","T1A3",2,9.84317489967882,10.3819218145539,7.3411273168196,93.2778666818346
"8",1,"Control","1","T1B1",2,5.16704927909188,3.19052337945212,2.25604071714481,28.6657152451884
"9",1,"Control","1","T1B2",2,7.99372274109651,8.67820565527506,6.13641806737644,77.9705843108465
"10",1,"Control","2","T2A2",2,5.54844150635741,4.13223268059284,2.92192974988786,37.1266376267948
"11",1,"Control","2","T2A3",2,6.20513282925455,5.98641893882825,4.23303742666903,53.7858401991468
"12",1,"Control","2","T2B1",2,5.62971565923708,5.26680851290473,3.72419601468597,47.3203970402458
"13",1,"Control","2","T2B2",2,7.65532514060421,7.13410745398464,5.04457575842603,64.0974123937049
"14",1,"Control","2","T2B3",2,7.265975725022,6.31072653703558,4.46235752855175,56.6996283637891
"15",1,"Control","3","T3A1",2,4.91099771532472,3.98212684143999,2.81578889312719,35.7779901699207
"16",1,"Control","3","T3B1",2,5.6478209987361,5.21114131491324,3.68483336149653,46.8202471098618
"17",1,"HW","1","T1C1",2,6.35380296982842,6.40461260932857,4.5287450069291,57.54316125597
"18",1,"HW","1","T1C3",2,4.19389642149527,2.8935321591042,2.04603621128393,25.9973549982008
"19",1,"HW","1","T1D1",2,5.88351425449164,5.21753005525505,3.68935088311547,46.8776476644521
"20",1,"HW","1","T1D2",2,4.36960384749983,2.8071357607844,1.98494473216191,25.2211141568406
"21",1,"HW","1","T1D3",2,4.87544377730274,4.11640731286429,2.91073952505223,36.9844523389896
"22",1,"HW","2","T2C1",2,4.68044259015162,4.09794762477016,2.89768655442229,36.8185986217502
"23",1,"HW","2","T2C2",2,11.6373403098086,13.1975587947104,9.33208331884786,118.575361264321
"24",1,"HW","2","T2C3",2,15.3822501839084,13.2322545828078,9.35661694589018,118.887090552442
"25",1,"HW","2","T2D2",2,4.29191085472621,3.29516038448323,2.33003025296536,29.6058414356588
"26",1,"HW","2","T2D3",2,4.06130644454693,3.20009302240089,2.26280747656743,28.7516950758125
"27",1,"HW","3","T3C3",2,7.63278373719502,6.3315666011258,4.47709367919031,56.8868689108258
"28",1,"HW","3","T3D1",2,6.48127064213175,6.73978752363818,4.76574946172104,60.5545883819419
"29",1,"OA","1","T1A5",2,4.85255994890027,4.24662259180341,3.00281563180419,38.1543902026898
"30",1,"OA","1","T1A6",2,5.67911947299891,4.83036290262407,3.41558236403741,43.399088810727
"31",1,"OA","1","T1B4",2,4.26490838178158,2.74938663584187,1.94410993430746,24.7022588549417
"32",1,"OA","1","T1B5",2,4.49367333360441,1.88839014184223,1.33529347482247,16.9665122739724
"33",1,"OA","1","T1B6",2,5.11924294227179,4.51491031379998,3.19252369933705,40.5648597488664
"34",1,"OA","2","T2A4",2,7.77495158980101,6.66763377710827,4.71472905826173,59.9063126898657
"35",1,"OA","2","T2A5",2,6.89550326588035,6.37373442577857,4.50691083395017,57.2657317838547
"36",1,"OA","2","T2B4",2,6.08125421548666,5.28594149823932,3.7377250783604,47.4923000931819
"37",1,"OA","2","T2B6",2,3.44045659460935,2.14083008841338,1.5137954728853,19.234595207175
"38",1,"OA","3","T3A4",2,3.53009973461765,1.32379508337595,0.936064480356545,11.8938269336712
"39",1,"OA","3","T3A6",2,10.597547506246,11.2003116083053,7.91981628963505,100.630807248994
"40",2,"Baseline","Baseline","T0BL1",2,4.07623080653415,3.33311715541643,2.35686974308417,29.9468694921229
"41",2,"Baseline","Baseline","T0BL5",2,2.65641519302987,0.659115802437568,0.466065253490817,5.92192053127148
"42",2,"Control","1","T1B3",2,4.19943079832177,2.28421870483837,1.61518653590436,20.5228908123136
"43",2,"Control","2","T2A1",2,5.88037630247245,4.90719252187798,3.46990910880783,44.0893755524298
"44",2,"Control","3","T3A2",2,3.9335902356578,3.29775930970635,2.33186797061443,29.6291918523551
"45",2,"Control","3","T3A3",2,13.8442487020524,14.4606430136147,10.2252187352449,129.92372272219
"46",2,"Control","3","T3B2",2,6.202480248483,5.83275553524803,4.12438099197725,52.4052292940502
"47",2,"HW","1","T1C2",2,10.235996049051,10.3648475982409,7.32905402268127,93.1244609346729
"48",2,"HW","2","T2D1",2,7.26131445816254,6.65090183042707,4.702897785301,59.755982113337
"49",2,"HW","3","T3C1",2,8.35720715875674,9.20008162931879,6.5054401075611,82.6594539055936
"50",2,"HW","3","T3D2",2,8.23249433436541,7.61177568059722,5.38233820062114,68.3890911364263
"51",2,"HW","3","T3D3",2,8.77796854553867,9.58283909634145,6.77609050804261,86.0983933060394
"52",2,"OA","1","T1A4",2,6.1487031785781,5.81287045229412,4.11032011497608,52.2265689121032
"53",2,"OA","2","T2B5",2,9.5049338241987,8.38483187906209,5.92897148079394,75.3347255099087
"54",2,"OA","3","T3A5",2,5.56246079702889,5.38771579742999,3.80969037546864,48.4067058921387
"55",2,"OA","3","T3B4",2,8.28037093241183,7.45613527445915,5.27228381401429,66.9907175680855
"56",2,"OA","3","T3B5",2,7.63790724739173,5.59760869565939,3.95810706712954,50.2925187626479
